date,total_pcr,index_pcr,etp_pcr,equity_pcr,vix_pcr,spx_pcr
05/29/2024,1.00,1.16,1.15,0.68,0.42,1.45
05/30/2024,1.01,1.09,1.10,0.87,0.56,1.26
05/31/2024,0.94,1.08,0.94,0.73,0.56,1.24
06/03/2024,0.89,1.00,1.10,0.58,0.38,1.26
06/04/2024,0.95,1.23,0.88,0.61,0.85,1.29
06/05/2024,0.98,1.07,1.10,0.75,0.41,1.31
06/06/2024,0.99,0.91,2.07,0.59,0.34,1.31
06/07/2024,0.85,1.01,0.95,0.58,0.40,1.27
06/10/2024,0.90,1.12,1.21,0.58,0.51,1.26
06/11/2024,0.88,1.07,0.97,0.59,0.49,1.30
06/12/2024,0.66,1.00,0.45,0.53,0.41,1.23
06/13/2024,0.79,1.06,0.48,0.87,0.31,1.41
06/14/2024,0.93,1.04,1.50,0.58,0.24,1.58
06/17/2024,0.87,1.00,0.98,0.62,0.39,1.32
06/18/2024,0.87,1.07,0.97,0.58,0.32,1.47
06/20/2024,0.87,1.09,0.85,0.62,0.44,1.44
06/21/2024,0.83,1.12,0.81,0.63,0.52,1.34
06/24/2024,0.92,1.22,1.07,0.58,0.30,1.43
06/25/2024,0.90,1.14,1.11,0.59,0.23,1.33
06/26/2024,0.75,0.95,0.91,0.54,0.20,1.28
06/27/2024,0.85,0.89,0.94,0.76,0.14,1.23
06/28/2024,0.89,1.03,1.02,0.64,0.30,1.20
07/01/2024,0.93,1.19,1.15,0.56,0.43,1.47
07/02/2024,0.94,1.10,1.07,0.70,0.49,1.32
07/03/2024,0.84,1.11,0.96,0.51,0.47,1.40
07/05/2024,0.89,1.30,0.87,0.56,0.58,1.43
07/08/2024,0.79,0.93,1.10,0.51,0.25,1.35
07/09/2024,0.90,1.26,0.95,0.57,0.49,1.48
07/10/2024,0.85,1.11,0.84,0.55,0.69,1.23
07/11/2024,0.80,0.95,0.82,0.61,0.39,1.18
07/12/2024,0.82,1.05,0.84,0.57,0.46,1.26
07/15/2024,0.84,0.96,1.15,0.52,0.35,1.27
07/16/2024,0.79,0.96,0.87,0.49,0.44,1.40
07/17/2024,0.80,1.02,0.90,0.53,0.49,1.34
07/18/2024,0.87,1.18,0.74,0.60,0.62,1.35
07/19/2024,0.80,1.01,0.79,0.60,0.33,1.32
07/22/2024,0.87,1.14,0.90,0.55,0.41,1.31
07/23/2024,0.96,1.20,0.97,0.63,0.88,1.31
07/24/2024,1.02,1.23,1.01,0.70,0.89,1.38
07/25/2024,0.98,1.16,0.92,0.80,0.66,1.34
07/26/2024,1.04,1.31,1.06,0.73,0.63,1.43
07/29/2024,0.92,0.99,1.16,0.65,0.28,1.37
07/30/2024,1.04,1.40,0.96,0.68,1.78,1.38
07/31/2024,0.97,1.22,1.21,0.59,0.47,1.53
08/01/2024,0.92,1.08,1.05,0.64,0.60,1.33
08/02/2024,1.16,1.30,1.39,0.81,0.76,1.96
08/05/2024,1.28,1.55,1.32,0.77,0.42,2.71
08/06/2024,1.11,1.31,1.11,0.72,0.89,1.54
08/07/2024,1.06,1.17,1.33,0.69,0.71,1.52
08/08/2024,1.19,1.34,1.25,0.97,1.13,1.40
08/09/2024,0.93,1.21,1.03,0.60,0.86,1.38
08/12/2024,1.02,1.16,1.20,0.68,0.67,1.53
08/13/2024,0.98,1.03,1.36,0.67,0.71,1.20
08/14/2024,0.90,1.02,1.01,0.67,0.66,1.19
08/15/2024,0.92,1.04,1.19,0.58,0.71,1.18
08/16/2024,0.88,1.06,1.31,0.51,0.54,1.41
08/19/2024,0.72,0.88,0.83,0.47,0.40,1.14
08/20/2024,0.84,0.95,0.95,0.59,0.51,1.26
08/21/2024,0.86,1.03,0.87,0.59,0.50,1.29
08/22/2024,0.92,1.08,0.88,0.74,0.63,1.16
08/23/2024,1.07,1.29,1.46,0.55,1.30,1.29
08/26/2024,0.91,1.03,1.17,0.57,0.37,1.18
08/27/2024,1.00,1.19,1.06,0.70,0.57,1.40
08/28/2024,0.90,1.08,0.93,0.64,0.53,1.26
08/29/2024,0.93,1.19,1.00,0.62,0.53,1.37
08/30/2024,0.73,0.76,0.89,0.60,0.15,1.25
09/03/2024,0.81,0.85,0.78,0.73,0.42,1.31
09/04/2024,0.99,1.03,1.22,0.73,0.53,1.38
09/05/2024,0.86,0.71,1.32,0.98,0.17,1.32
09/06/2024,1.12,1.36,1.15,0.75,1.04,1.43
09/09/2024,1.09,1.33,1.35,0.64,0.96,1.43
09/10/2024,0.94,1.07,1.03,0.69,0.45,1.32
09/11/2024,0.86,0.93,0.99,0.60,0.43,1.12
09/12/2024,0.94,1.05,1.40,0.57,0.66,1.22
09/13/2024,0.92,1.21,1.10,0.54,0.75,1.39
09/16/2024,0.82,1.02,0.92,0.52,0.38,1.32
09/17/2024,0.80,1.02,0.82,0.51,0.44,1.30
09/18/2024,0.96,1.21,1.07,0.61,0.41,1.57
